o111 o111
47 0.0003614923
48 0.0002652234
49 0.0001709996
50 0.0000949520
51 0.0001472722
52 0.0002007280
53 0.0002439417
54 0.0002678410
55 0.0002678410
56 0.0002439417
57 0.0002007280
58 0.0001472722
59 0.0000949520
60 0.0000515591
61 0.0000799691
62 0.0001089957
63 0.0001324608
64 0.0001454382
65 0.0001454382
66 0.0001324608
67 0.0001089957
68 0.0000799691
69 0.0000515591
70 0.0000273758
71 0.0000424604
72 0.0000578723
73 0.0000703313
74 0.0000772218
75 0.0000772218
76 0.0000703313
77 0.0000578723
78 0.0000424604
79 0.0000273758
80 0.0000142121
81 0.0000220432
82 0.0000300443
83 0.0000365124
84 0.0000400895
85 0.0000400895
86 0.0000365124
87 0.0000300443
88 0.0000220432
89 0.0000142121
90 0.0000072136
91 0.0000111884
92 0.0000152495
93 0.0000185325
94 0.0000203481
95 0.0000203481
96 0.0000185325
97 0.0000152495
98 0.0000111884
99 0.0000072136
o111 o2
0 0.0743720765
1 0.0728066243
2 0.0588560662
3 0.0392889618
4 0.0216574921
5 0.0098583232
6 0.0037055603
7 0.0011501620
8 0.0002947925
9 0.0000623913
10 0.0870602323
11 0.0852277080
12 0.0688971324
13 0.0459918063
14 0.0253523417
15 0.0115401902
16 0.0043377428
17 0.0013463839
18 0.0003450852
19 0.0000730355
20 0.1002672479
21 0.0981567301
22 0.0793488102
23 0.0529687519
24 0.0291982856
25 0.0132908342
26 0.0049957773
27 0.0015506300
28 0.0003974346
29 0.0000841149
30 0.1136941498
31 0.1113010102
32 0.0899745002
33 0.0600618581
34 0.0331082614
35 0.0150706250
36 0.0056647675
37 0.0017582767
38 0.0004506555
39 0.0000953789
40 0.1270266568
41 0.1243528823
42 0.1005254886
43 0.0671050977
44 0.0369907490
45 0.0168379034
46 0.0063290546
47 0.0019644635
48 0.0005035023
49 0.0001065636
50 0.1399570834
51 0.1370111372
52 0.1107582813
53 0.0739359280
54 0.0407561489
55 0.0185518844
56 0.0069733081
57 0.0021644322
58 0.0005547553
59 0.0001174111
60 0.1522054560
61 0.1490016947
62 0.1204513148
63 0.0804064458
64 0.0443229316
65 0.0201754563
66 0.0075835786
67 0.0023538529
68 0.0006033048
69 0.0001276863
70 0.1635375000
71 0.1600952115
72 0.1294191904
73 0.0863928894
74 0.0476228751
75 0.0216775651
76 0.0081481934
77 0.0025291026
78 0.0006482222
79 0.0001371928
80 0.1737775345
81 0.1701197042
82 0.1375228790
83 0.0918024510
84 0.0506048205
85 0.0230349236
86 0.0086583992
87 0.0026874644
88 0.0006888112
89 0.0001457833
90 0.1828151897
91 0.1789671265
92 0.1446750369
93 0.0965768247
94 0.0532366274
95 0.0242329018
96 0.0091086969
97 0.0028272315
98 0.0007246342
99 0.0001533650
o111 o3
0 0.0643663601
1 0.0745955440
2 0.0713876579
3 0.0564143543
4 0.0368139105
5 0.0198376127
6 0.0088271590
7 0.0032434353
8 0.0009841031
9 0.0002465614
10 0.0753475031
11 0.0873218242
12 0.0835666607
13 0.0660388552
14 0.0430945020
15 0.0232219840
16 0.0103331055
17 0.0037967775
18 0.0011519948
19 0.0002886257
20 0.0867777005
21 0.1005685232
22 0.0962437023
23 0.0760569331
24 0.0496319272
25 0.0267447531
26 0.0119006351
27 0.0043727477
28 0.0013267521
29 0.0003324102
30 0.0983982017
31 0.1140357692
32 0.1091318066
33 0.0862418040
34 0.0562781954
35 0.0303261736
36 0.0134942627
37 0.0049583074
38 0.0015044190
39 0.0003769236
40 0.1099370075
41 0.1274083367
42 0.1219293040
43 0.0963550724
44 0.0628777384
45 0.0338824157
46 0.0150766867
47 0.0055397504
48 0.0016808369
49 0.0004211241
50 0.1211278271
51 0.1403776156
52 0.1343408556
53 0.1061633459
54 0.0692782530
55 0.0373314090
56 0.0166113881
57 0.0061036583
58 0.0018519343
59 0.0004639916
60 0.1317283535
61 0.1526627912
62 0.1460977228
63 0.1154542527
64 0.0753411534
65 0.0405984749
66 0.0180651371
67 0.0066378212
68 0.0020140067
69 0.0005045979
70 0.1415358305
71 0.1640288849
72 0.1569750322
73 0.1240500857
74 0.0809504745
75 0.0436211241
76 0.0194101279
77 0.0071320221
78 0.0021639541
79 0.0005421663
80 0.1503982124
81 0.1742996878
82 0.1668041524
83 0.1318175834
84 0.0860192547
85 0.0463524965
86 0.0206255090
87 0.0075785995
88 0.0022994519
89 0.0005761145
90 0.1582199782
91 0.1833644986
92 0.1754791426
93 0.1386730257
94 0.0904928615
95 0.0487631527
96 0.0216981806
97 0.0079727400
98 0.0024190396
99 0.0006060765
o111 o4
0 0.0493998305
1 0.0677123660
2 0.0766447086
3 0.0716420905
4 0.0553001213
5 0.0352496818
6 0.0185547358
7 0.0080653577
8 0.0028950779
9 0.0008581492
10 0.0578276272
11 0.0792643502
12 0.0897205839
13 0.0838645005
14 0.0647345299
15 0.0412634101
16 0.0217202435
17 0.0094413380
18 0.0033889891
19 0.0010045527
20 0.0666000639
21 0.0912887324
22 0.1033311742
23 0.0965867243
24 0.0745547419
25 0.0475230591
26 0.0250151990
27 0.0108735867
28 0.0039030979
29 0.0011569431
30 0.0755185547
31 0.1035133110
32 0.1171683699
33 0.1095207631
34 0.0845384527
35 0.0538869263
36 0.0283650130
37 0.0123296811
38 0.0044257662
39 0.0013118706
40 0.0843743459
41 0.1156519474
42 0.1309082863
43 0.1223638719
44 0.0944519752
45 0.0602060538
46 0.0316912768
47 0.0137755388
48 0.0049447600
49 0.0014657090
50 0.0929630651
51 0.1274245080
52 0.1442338357
53 0.1348196595
54 0.1040665267
55 0.0663346096
56 0.0349172274
57 0.0151777924
58 0.0054481020
59 0.0016149080
60 0.1010987466
61 0.1385760897
62 0.1568564891
63 0.1466184294
64 0.1131739299
65 0.0721398964
66 0.0379730157
67 0.0165060800
68 0.0059248938
69 0.0017562370
70 0.1086257794
71 0.1488933963
72 0.1685348132
73 0.1575345066
74 0.1215999877
75 0.0775108766
76 0.0408001934
77 0.0177349954
78 0.0063660157
79 0.0018869928
80 0.1154274715
81 0.1582164782
82 0.1790877586
83 0.1673986587
84 0.1292140705
85 0.0823642836
86 0.0433549310
87 0.0188454866
88 0.0067646290
89 0.0020051484
90 0.1214305126
91 0.1664448489
92 0.1884015827
93 0.1761045674
94 0.1359341118
95 0.0866478062
96 0.0456096926
97 0.0198255846
98 0.0071164373
99 0.0021094303
o111 o5
0 0.0314183372
1 0.0509510350
2 0.0682309726
3 0.0754517559
4 0.0688995762
5 0.0519544802
6 0.0323510386
7 0.0166345636
